,Churn
5531,0
1036,0
6281,0
6103,0
2776,1
5434,0
2304,0
5286,1
5392,0
6161,0
6480,0
5380,1
27,1
3651,0
917,0
1106,0
2006,1
6884,1
5740,0
4509,1
639,1
881,0
3769,0
2636,0
1781,0
1859,1
6572,0
2930,0
1796,0
5560,0
2253,0
1573,0
2099,0
6613,0
355,1
6206,0
4321,0
177,1
4340,0
3170,0
574,0
99,1
6361,0
82,1
1997,0
6153,0
6513,0
3987,1
3041,0
3930,0
6977,0
2743,0
4848,1
5078,0
5744,0
3319,1
4633,0
5927,0
6787,0
4680,0
1244,1
3907,0
5107,0
5959,0
4856,1
5666,0
7022,0
4543,0
6716,1
1782,0
1558,1
1223,1
2186,0
6116,0
6984,0
5936,0
4928,1
4520,1
6792,1
4991,1
6869,1
2633,0
5739,0
6167,0
2587,0
1776,0
4586,0
4840,0
6440,0
6992,0
2421,0
1933,0
1683,0
4947,1
5830,0
449,0
6594,0
5472,0
588,0
5263,0
1305,0
4888,0
6861,1
4852,0
3806,0
1073,1
6503,0
1051,0
5214,1
2747,0
3940,0
6044,0
314,1
6152,1
115,0
5888,1
4897,0
2281,1
6996,1
2538,0
4766,0
2693,0
6796,1
1793,0
213,0
390,0
3638,1
6741,1
3407,0
936,0
3291,0
2866,0
2203,0
3292,0
2964,0
3264,0
1800,0
1007,1
4898,1
6236,0
6894,1
4859,0
4521,0
5174,1
6961,1
797,0
1723,0
322,0
4765,0
3920,0
3157,1
1835,0
3338,1
1761,0
4788,0
282,0
6108,0
1507,0
5291,0
4161,0
4156,0
1490,0
6084,0
2398,0
263,0
2262,1
4671,1
5316,0
4629,0
968,0
6447,0
4663,1
5066,0
1463,1
5173,0
6326,0
2149,0
4705,0
6166,1
87,0
1319,1
2861,1
3677,0
4774,0
4864,0
2408,0
3182,0
6770,0
7040,0
6124,0
2053,1
1634,0
2330,0
6799,0
766,0
1532,0
183,0
6724,1
3732,0
834,1
1926,1
3048,0
2338,0
5288,1
4718,0
5840,0
1033,0
1442,0
109,0
6081,0
5257,1
5063,1
3832,0
6193,0
6228,0
1613,0
777,1
6079,0
2023,1
4046,0
4748,0
71,0
5656,0
5330,1
5996,0
6719,0
5146,0
5314,0
5595,0
3960,0
5536,1
1617,0
204,0
1962,0
2772,0
4728,0
3560,0
1078,0
3241,1
3679,1
327,1
2615,0
2700,0
4627,0
6343,0
6829,0
1387,0
3803,1
4949,1
2198,0
1429,0
5638,1
5103,0
5743,0
6575,0
604,0
2286,0
4471,1
1500,0
5689,0
7027,0
3606,0
2484,0
5159,0
1843,0
4715,0
2172,0
1588,0
1882,0
2193,0
1016,0
4780,0
3270,0
3796,1
1285,1
4913,0
6733,0
